file,TP,FP,FN,Precision,Recall,F1
LIPITOR.196,2,0,0,1.0,1.0,1.0
LIPITOR.197,0,0,0,0.0,0.0,0.0
LIPITOR.198,0,0,0,0.0,0.0,0.0
LIPITOR.199,1,1,0,0.5,1.0,0.667
LIPITOR.2,0,0,0,0.0,0.0,0.0
LIPITOR.20,1,0,0,1.0,1.0,1.0
LIPITOR.200,1,0,0,1.0,1.0,1.0
LIPITOR.201,1,0,0,1.0,1.0,1.0
LIPITOR.202,0,0,0,0.0,0.0,0.0
LIPITOR.203,1,0,0,1.0,1.0,1.0
LIPITOR.204,1,0,0,1.0,1.0,1.0
LIPITOR.205,1,0,0,1.0,1.0,1.0
LIPITOR.206,1,0,0,1.0,1.0,1.0
LIPITOR.207,0,0,0,0.0,0.0,0.0
LIPITOR.208,1,0,0,1.0,1.0,1.0
LIPITOR.209,1,0,0,1.0,1.0,1.0
LIPITOR.21,1,1,0,0.5,1.0,0.667
LIPITOR.210,2,0,0,1.0,1.0,1.0
LIPITOR.211,1,0,0,1.0,1.0,1.0
LIPITOR.212,0,0,0,0.0,0.0,0.0
LIPITOR.213,1,0,0,1.0,1.0,1.0
LIPITOR.214,0,0,0,0.0,0.0,0.0
LIPITOR.215,0,1,0,0.0,0.0,0.0
LIPITOR.216,4,0,0,1.0,1.0,1.0
LIPITOR.217,3,0,0,1.0,1.0,1.0
LIPITOR.218,2,0,0,1.0,1.0,1.0
LIPITOR.219,1,0,0,1.0,1.0,1.0
LIPITOR.22,0,0,0,0.0,0.0,0.0
LIPITOR.220,0,0,0,0.0,0.0,0.0
LIPITOR.221,1,0,0,1.0,1.0,1.0
LIPITOR.222,2,0,0,1.0,1.0,1.0
LIPITOR.223,1,0,0,1.0,1.0,1.0
LIPITOR.224,1,0,0,1.0,1.0,1.0
LIPITOR.225,1,0,0,1.0,1.0,1.0
LIPITOR.226,0,0,0,0.0,0.0,0.0
LIPITOR.227,2,0,0,1.0,1.0,1.0
LIPITOR.228,0,0,0,0.0,0.0,0.0
LIPITOR.229,1,1,0,0.5,1.0,0.667
LIPITOR.23,1,0,0,1.0,1.0,1.0
LIPITOR.230,1,0,0,1.0,1.0,1.0
LIPITOR.231,1,1,0,0.5,1.0,0.667
LIPITOR.232,0,0,0,0.0,0.0,0.0
LIPITOR.233,0,0,0,0.0,0.0,0.0
LIPITOR.234,1,0,0,1.0,1.0,1.0
LIPITOR.235,0,0,0,0.0,0.0,0.0
LIPITOR.236,3,0,0,1.0,1.0,1.0
LIPITOR.237,0,0,0,0.0,0.0,0.0
LIPITOR.238,0,0,0,0.0,0.0,0.0
LIPITOR.239,1,0,0,1.0,1.0,1.0
LIPITOR.24,1,0,0,1.0,1.0,1.0
LIPITOR.240,1,1,0,0.5,1.0,0.667
LIPITOR.241,0,0,0,0.0,0.0,0.0
